time,open,high,low,close,volume,spread
2026-02-13,4891.66,5046.02,4888.63,5042.78,217580,36
2026-02-16,5015.19,5032.34,4965.73,4993.49,122392,35
2026-02-17,4998.2,5000.66,4842.03,4877.64,203742,35
2026-02-18,4870.68,5010.77,4854.0,4979.28,167144,35
2026-02-19,4972.97,5022.14,4960.77,4999.04,165451,35
2026-02-20,5001.81,5104.85,4981.69,5103.59,184695,35
2026-02-23,5117.59,5237.75,5117.54,5231.23,207567,35
2026-02-24,5243.06,5249.58,5093.52,5148.0,206847,40
2026-02-25,5136.04,5217.42,5127.74,5170.69,192084,40
2026-02-26,5175.98,5205.22,5130.29,5187.0,208934,35
2026-02-27,5181.85,5278.74,5166.85,5277.51,205341,35
2026-03-02,5358.16,5418.89,5260.32,5327.04,288403,51
2026-03-03,5344.76,5379.48,4995.98,5087.21,306775,45
2026-03-04,5110.33,5205.77,5103.69,5135.69,270529,45
2026-03-05,5151.98,5194.61,5050.72,5077.2,254959,45
2026-03-06,5089.8,5174.31,5061.83,5170.92,236079,45
2026-03-09,5164.39,5168.4,5014.76,5138.39,283565,0
2026-03-10,5127.42,5238.35,5116.99,5195.62,236439,45
2026-03-11,5191.49,5223.04,5145.14,5176.16,202439,45
2026-03-12,5177.44,5191.49,5054.81,5080.63,218346,45
2026-03-13,5083.43,5128.07,5009.46,5018.52,215998,45
2026-03-16,5015.17,5037.76,4967.0,5009.16,248665,45
2026-03-17,5010.84,5044.21,4973.36,5002.82,195691,45
2026-03-18,5000.67,5016.11,4806.57,4825.37,229318,45
2026-03-19,4825.2,4866.94,4502.36,4657.62,301393,45
2026-03-20,4659.13,4735.52,4477.16,4497.16,296653,45
2026-03-23,4474.93,4535.72,4098.74,4412.09,377098,45
2026-03-24,4380.2,4483.73,4305.8,4465.51,350744,45
2026-03-25,4479.02,4602.39,4455.73,4505.79,283985,45
2026-03-26,4520.93,4544.25,4350.89,4401.57,300449,45
2026-03-27,4386.78,4555.14,4375.32,4498.41,248096,45
2026-03-30,4511.48,4580.43,4418.17,4504.4,273764,45
2026-03-31,4517.29,4686.8,4482.52,4667.83,275283,37
2026-04-01,4673.76,4792.65,4661.21,4762.37,250101,37
2026-04-02,4759.27,4800.26,4553.93,4670.6,273301,37
2026-04-06,4636.15,4706.41,4600.63,4650.11,213310,37
2026-04-07,4661.65,4718.52,4607.46,4711.98,249097,37
2026-04-08,4744.36,4857.22,4699.47,4719.86,263318,37
2026-04-09,4727.3,4800.96,4698.76,4764.86,217868,37
2026-04-10,4771.92,4794.9,4730.36,4750.34,198269,37
2026-04-13,4669.24,4749.9,4644.16,4738.91,216467,37
2026-04-14,4745.91,4846.05,4745.13,4840.95,192426,47
2026-04-15,4848.6,4871.23,4786.19,4789.01,209456,45
2026-04-16,4796.48,4838.12,4772.62,4789.86,221515,47
2026-04-17,4793.98,4891.05,4767.54,4832.74,229239,39
2026-04-20,4773.29,4827.36,4736.81,4816.78,243335,39
2026-04-21,4825.12,4832.58,4668.27,4712.96,273211,39
2026-04-22,4725.41,4772.14,4714.98,4738.33,219254,44
2026-04-23,4741.61,4753.39,4664.11,4690.34,299464,39
2026-04-24,4694.77,4740.19,4657.47,4706.74,269860,39
2026-04-27,4696.83,4729.81,4667.04,4679.79,233900,41
2026-04-28,4682.33,4701.07,4554.73,4593.06,275281,42
2026-04-29,4598.41,4610.13,4510.08,4541.81,278221,42
2026-04-30,4539.7,4646.76,4539.37,4618.42,279010,42
2026-05-01,4628.74,4660.08,4560.21,4613.13,220722,42
2026-05-04,4625.35,4629.13,4500.56,4521.4,264185,42
2026-05-05,4520.26,4586.43,4513.44,4555.83,202591,42
2026-05-06,4552.25,4722.86,4546.13,4689.31,270338,42
2026-05-07,4690.44,4764.59,4685.04,4702.3,281156,42
2026-05-08,4692.99,4749.18,4681.58,4714.96,248224,42
2026-05-11,4686.72,4748.38,4647.93,4736.57,241651,42
2026-05-12,4740.4,4773.25,4638.23,4715.16,261682,42
2026-05-13,4719.97,4726.51,4669.27,4688.74,240569,42
2026-05-14,4693.19,4718.58,4644.21,4650.21,249962,42
2026-05-15,4652.62,4665.08,4511.61,4538.07,322415,39
2026-05-18,4544.86,4584.04,4480.26,4563.7,314506,39
2026-05-19,4570.72,4589.12,4464.78,4483.03,270219,37
2026-05-20,4484.14,4552.41,4453.53,4542.77,277479,37
2026-05-21,4544.14,4570.6,4488.63,4540.44,285569,37
2026-05-22,4544.72,4544.79,4488.45,4506.77,238183,37
2026-05-25,4550.43,4579.81,4548.35,4570.78,159540,44
2026-05-26,4570.84,4580.02,4482.41,4506.5,231729,37
2026-05-27,4505.93,4527.97,4401.36,4454.14,230765,36
2026-05-28,4456.32,4516.39,4366.45,4495.87,258576,36
2026-05-29,4497.37,4595.17,4488.93,4541.77,227905,36
2026-06-01,4520.19,4545.79,4446.93,4483.77,213286,36
2026-06-02,4483.03,4541.34,4462.87,4488.65,199165,36
2026-06-03,4490.15,4496.6,4426.31,4431.36,229029,36
2026-06-04,4432.18,4515.3,4423.64,4474.66,225691,36
2026-06-05,4473.63,4481.28,4311.67,4327.26,283106,36
2026-06-08,4320.46,4353.25,4268.5,4327.26,304028,36
2026-06-09,4326.81,4363.37,4236.66,4261.67,272060,36
2026-06-10,4255.11,4257.28,4067.38,4067.78,344411,36
2026-06-11,4063.23,4219.92,4023.77,4211.06,346483,39
2026-06-12,4208.43,4246.45,4170.12,4214.9,296396,39
2026-06-15,4300.53,4369.36,4280.33,4309.81,232962,39
2026-06-16,4313.1,4354.76,4305.77,4331.77,220894,39
2026-06-17,4331.58,4382.28,4218.86,4258.39,239564,36
2026-06-18,4258.31,4329.63,4201.44,4210.02,273963,36
2026-06-19,4204.81,4210.35,4121.65,4155.46,181207,36
2026-06-22,4156.47,4220.4,4136.37,4191.05,256494,36
2026-06-23,4192.72,4198.1,4090.85,4110.26,278054,36
2026-06-24,4111.27,4114.94,3959.19,3997.04,326224,39
2026-06-25,4007.4,4044.05,3963.6,4024.61,307938,41
2026-06-26,4029.29,4095.84,3982.9,4075.46,270623,41
2026-06-29,4075.63,4083.47,3999.84,4014.54,249773,41
2026-06-30,4018.49,4063.22,3941.74,4010.82,247781,41
2026-07-01,4013.93,4115.58,3960.06,4032.82,251685,41
2026-07-02,4039.19,4143.66,4030.54,4119.55,272803,41
2026-07-03,4125.41,4195.19,4121.01,4174.76,162630,41
2026-07-06,4180.2,4202.82,4128.37,4163.2,225692,37
2026-07-07,4164.58,4180.29,4092.14,4104.97,241981,37
2026-07-08,4104.9,4133.76,4021.62,4075.08,312222,40
2026-07-09,4074.11,4137.81,4054.09,4123.54,233501,40
2026-07-10,4125.06,4134.59,4072.53,4113.6,196657,40
2026-07-13,4091.08,4093.93,3986.47,3999.0,283135,37
2026-07-14,4001.46,4101.35,3983.67,4049.98,267671,37
2026-07-15,4052.87,4081.1,4017.27,4061.23,244598,37
2026-07-16,4061.28,4064.54,3968.85,3974.5,263738,37
2026-07-17,3978.45,4023.6,3959.52,4015.66,283907,37
2026-07-20,3996.66,4040.57,3982.56,4007.79,247431,37
2026-07-21,4007.96,4086.83,3999.59,4078.29,216644,37
2026-07-22,4078.52,4165.87,4076.63,4129.97,242596,37
2026-07-23,4120.67,4140.77,4040.01,4049.56,260542,37
2026-07-24,4048.97,4081.9,4021.9,4054.23,211417,37
2026-07-27,4089.37,4115.98,4065.29,4076.44,237805,37
2026-07-28,4080.74,4081.16,4011.4,4027.39,242530,37
2026-07-29,4026.65,4116.38,3995.83,4065.98,268464,37
2026-07-30,4073.67,4120.3,4028.29,4099.86,299540,37
2026-07-31,4102.85,4111.55,4020.45,4051.26,219235,37
2026-08-03,4075.2,4078.82,4047.25,4056.89,67991,40
