time,open,high,low,close,tick_volume,spread,real_volume,returns,volatility
2025-01-24 04:00:00,1.04158,1.04489,1.04158,1.04489,2497,3,0,0.0031682331819622433,0.0012180960924695553
2025-01-24 05:00:00,1.04485,1.04537,1.04364,1.04461,2216,3,0,-0.0002679707911837914,0.0011446524028391014
2025-01-24 06:00:00,1.0446,1.04513,1.04432,1.04472,1408,4,0,0.00010530245737649935,0.0010641485056505663
2025-01-24 07:00:00,1.04472,1.04537,1.04437,1.0451,1116,3,0,0.0003637338234165899,0.001058295459860113
2025-01-24 08:00:00,1.04512,1.04702,1.04492,1.0457,2208,3,0,0.0005741077408862871,0.0010253664497516975
2025-01-24 09:00:00,1.0457,1.04648,1.04472,1.0461,2736,4,0,0.0003825188868700202,0.0009984760354863008
2025-01-24 10:00:00,1.04607,1.04949,1.04578,1.04935,3372,3,0,0.0031067775547271026,0.0012940672060905306
2025-01-24 11:00:00,1.04924,1.05149,1.04908,1.04942,2984,3,0,6.670796207175478e-05,0.0012874223186086092
2025-01-24 12:00:00,1.04942,1.04977,1.0486,1.0489,1945,4,0,-0.0004955118065217423,0.0013433177719071325
2025-01-24 13:00:00,1.0489,1.0493,1.0481,1.04859,1665,4,0,-0.0002955477166555198,0.001342386786536901
2025-01-24 14:00:00,1.04859,1.04875,1.04732,1.04736,1659,4,0,-0.001173003747889867,0.001130198189378029
2025-01-24 15:00:00,1.04738,1.04799,1.04635,1.04685,2439,4,0,-0.00048693858845094695,0.001143109892813104
2025-01-24 16:00:00,1.04685,1.04938,1.04671,1.04909,2936,3,0,0.0021397525911066584,0.0012927058803900143
2025-01-24 17:00:00,1.04907,1.05204,1.04896,1.05163,3673,3,0,0.002421145945533665,0.001438559555005834
2025-01-24 18:00:00,1.05161,1.05202,1.05045,1.05145,2744,4,0,-0.00017116286146279247,0.0014605682138679329
2025-01-24 19:00:00,1.05142,1.05214,1.05098,1.0511,1950,4,0,-0.00033287365067291574,0.001486936448991198
2025-01-24 20:00:00,1.05108,1.05118,1.04939,1.0495,1464,4,0,-0.0015222148225666476,0.001284343547174345
2025-01-24 21:00:00,1.04953,1.04984,1.04919,1.04953,1247,0,0,2.858504049552124e-05,0.0012842297009225238
2025-01-24 22:00:00,1.04945,1.0496,1.04881,1.04945,1147,0,0,-7.622459577150131e-05,0.0012726394283722753
2025-01-24 23:00:00,1.04946,1.04972,1.04904,1.04919,752,4,0,-0.0002477488208108003,0.00127127326343657
2025-01-27 00:00:00,1.04751,1.04923,1.04743,1.04817,356,14,0,-0.0009721785377291292,0.001251093448946017
2025-01-27 01:00:00,1.04859,1.04859,1.04651,1.04674,1245,4,0,-0.0013642825114247303,0.0013237651782343595
2025-01-27 02:00:00,1.04679,1.0476,1.04652,1.04726,1421,4,0,0.0004967804803486242,0.0011124328731003904
2025-01-27 03:00:00,1.04724,1.04788,1.04612,1.04627,1994,4,0,-0.0009453239883123743,0.0006552599934455281
2025-01-27 04:00:00,1.04626,1.04664,1.0459,1.04658,1380,4,0,0.00029629063243707954,0.0006974839551280306
2025-01-27 05:00:00,1.04658,1.04773,1.04632,1.04683,1487,4,0,0.00023887328250093987,0.0007319995105235027
2025-01-27 06:00:00,1.04685,1.04688,1.04598,1.04631,1098,1,0,-0.0004967377702204123,0.0006219211938813424
2025-01-27 07:00:00,1.04632,1.04645,1.04559,1.04628,1219,3,0,-2.8672190842127243e-05,0.000618772617929747
2025-01-27 08:00:00,1.04628,1.04652,1.04569,1.04591,1471,1,0,-0.0003536338265093253,0.0006133257617443153
2025-01-27 09:00:00,1.04593,1.0471,1.04539,1.0457,2481,4,0,-0.00020078209406149128,0.0006142699077546341
2025-01-27 10:00:00,1.04566,1.04886,1.04544,1.04875,3126,4,0,0.0029167065123840707,0.0011564019306203755
2025-01-27 11:00:00,1.04876,1.04937,1.04751,1.04886,3405,4,0,0.0001048867699640077,0.0010437624312496967
2025-01-27 12:00:00,1.04888,1.05088,1.04888,1.05053,3299,4,0,0.0015922048700494074,0.0011318078490200319
2025-01-27 13:00:00,1.05051,1.05181,1.05044,1.0513,2953,4,0,0.000732963361350869,0.0010457481728201182
2025-01-27 14:00:00,1.05132,1.0528,1.05088,1.05212,2824,4,0,0.0007799866831541546,0.0010474809333442412
2025-01-27 15:00:00,1.05212,1.0533,1.05095,1.05198,3372,3,0,-0.00013306466942941686,0.0010653615101831708
2025-01-27 16:00:00,1.05196,1.05243,1.05078,1.0509,3426,3,0,-0.0010266354873667005,0.0011311192867978056
2025-01-27 17:00:00,1.0509,1.05098,1.04939,1.04988,3156,3,0,-0.0009705966314588199,0.0012107510493117861
2025-01-27 18:00:00,1.0499,1.05074,1.04892,1.04907,2850,3,0,-0.0007715167447708282,0.0012442603822022335
2025-01-27 19:00:00,1.04906,1.04947,1.04847,1.04886,2276,4,0,-0.00020017729989418864,0.0012442332201898034
2025-01-27 20:00:00,1.04883,1.04941,1.04816,1.04847,2167,3,0,-0.0003718322750413394,0.0008480098770752801
2025-01-27 21:00:00,1.04847,1.04928,1.04791,1.04925,1921,3,0,0.0007439411714211808,0.0008823837084039082
2025-01-27 22:00:00,1.04926,1.04941,1.04872,1.04879,1600,4,0,-0.00043840838694320095,0.0006995683178555167
2025-01-27 23:00:00,1.04879,1.04918,1.04858,1.04904,689,3,0,0.0002383699310635201,0.000644286087729353
2025-01-28 00:00:00,1.04905,1.04927,1.04855,1.04882,388,5,0,-0.00020971554945459214,0.000542425884546278
2025-01-28 01:00:00,1.04873,1.04877,1.04277,1.0437,2800,4,0,-0.004881676550790415,0.001535664109504858
2025-01-28 02:00:00,1.0437,1.04517,1.04325,1.04452,2351,4,0,0.000785666379227612,0.001609637743779484
2025-01-28 03:00:00,1.04452,1.04565,1.04295,1.04377,1870,3,0,-0.0007180331635582293,0.0016052846879586731
2025-01-28 04:00:00,1.04367,1.04414,1.04248,1.04335,2027,3,0,-0.0004023874991617715,0.001604695142164151
2025-01-28 05:00:00,1.04335,1.04394,1.04291,1.04291,1301,4,0,-0.00042171850289929314,0.0016009239562203952
2025-01-28 06:00:00,1.04292,1.04346,1.04255,1.04335,1096,3,0,0.0004218964244278034,0.0016310992421127446
2025-01-28 07:00:00,1.04337,1.0439,1.04334,1.04363,783,0,0,0.00026836632002691374,0.001597774840605753
2025-01-28 08:00:00,1.04364,1.0444,1.04338,1.04375,1144,4,0,0.0001149832795146466,0.0016110496823292524
2025-01-28 09:00:00,1.04373,1.04429,1.0428,1.04344,2317,4,0,-0.0002970059880239573,0.0015933069547452126
2025-01-28 10:00:00,1.04338,1.04357,1.04192,1.04251,2895,3,0,-0.0008912826803648688,0.0015924729803977562
2025-01-28 11:00:00,1.04255,1.04443,1.04224,1.0435,2600,4,0,0.0009496311785979206,0.0006250897583109257
2025-01-28 12:00:00,1.04346,1.0437,1.04249,1.04249,1942,3,0,-0.0009678965021563402,0.0006202234149222099
2025-01-28 13:00:00,1.04245,1.04325,1.04225,1.04233,1660,3,0,-0.00015347869044302076,0.0005923251756525276
2025-01-28 14:00:00,1.04232,1.04255,1.04138,1.04201,2233,4,0,-0.00030700449953458,0.0005883472971545276
2025-01-28 15:00:00,1.04198,1.04311,1.04172,1.04249,2479,4,0,0.0004606481703628429,0.0006053806199494691
2025-01-28 16:00:00,1.04246,1.04409,1.0424,1.04315,2700,4,0,0.0006330995980778908,0.0006266022679315338
2025-01-28 17:00:00,1.04311,1.04394,1.04211,1.0424,2842,4,0,-0.0007189761779227144,0.0006535023787587989
2025-01-28 18:00:00,1.04241,1.04327,1.04225,1.0426,2618,3,0,0.00019186492709133418,0.0006569872676812372
